bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;nombre del lugar;habitat;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;conuco.dist.m;conuco.bloque;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun
B04;P1;IS01;b0;Is01;5,562218037;-61,18524397;2015-10-04;13:50:00;2015-12-09;12:35;2015-12-09;12:35:00;66;Kadak tepui;bosque;no;0;no;0;0;1;7;0;1,54;39,4;8,8;8;2,2;82;4,406719247;0,05835482;1,763956876
B04;P2;IS01;b0;Is01;5,562218037;-61,18524397;2015-12-09;12:35:00;2016-01-31;16:01;2016-01-31;16:01:00;53;Kadak tepui;bosque;no;0;no;0;0;1;7;0;1,54;39,4;8,8;8;2,2;82;4,406719247;0,05835482;1,763956876
B04;P3;IS01;b0;Is01;5,562218037;-61,18524397;2016-01-31;16:02:00;2016-04-01;10:49;2016-04-01;10:49:00;61;Kadak tepui;bosque;no;0;no;0;0;1;7;0;1,54;39,4;8,8;8;2,2;82;4,406719247;0,05835482;1,763956876
B04;P1;IS21;s0;Is21;5,546915028;-61,17736196;2015-10-04;17:00:00;2015-12-09;08:34;2015-12-09;8:34:00;66;cerca case de Eugenio;bosque;no;0;no;0;0;1;7;1;1,54;39,4;105,8;8;4,7;26;3,258096538;0,007989604;-0,224443875
B04;P2;IS21;s0;Is21;5,546915028;-61,17736196;2015-12-09;8:34:00;2016-01-31;07:18;2016-01-31;7:18:00;53;cerca case de Eugenio;bosque;no;0;no;0;0;1;7;1;1,54;39,4;105,8;8;4,7;26;3,258096538;0,007989604;-0,224443875
B04;P3;IS21;sF;Is21-n;5,5868;-61,1853;2016-01-31;12:17:00;2016-04-01;14:14;2016-03-11;13:43:11;40;Mare Paru;sabana;si;1;no;0;0;1;7;1;1,54;39,4;1908,6;8;7,6;26;3,258096538;0,033236566;1,201065575
B04;P1;IS22;Bf;Is22;5,556129003;-61,185077;2015-10-04;12:00:00;2015-12-09;11:07;2015-12-09;11:07:00;66;Kadak tepui;bosque;no;0;antes;2;0;1;7;0;1,54;39,4;670,4;8;6,5;72;4,276666119;0,008998757;-0,105498633
B04;P2;IS22;Bf;Is22;5,556129003;-61,185077;2015-12-09;11:07:00;2016-01-31;17:03;2016-01-31;17:03:00;53;Kadak tepui;bosque;no;0;antes;2;0;1;7;0;1,54;39,4;670,4;8;6,5;72;4,276666119;0,008998757;-0,105498633
B04;P3;IS22;Bf;Is22;5,556129003;-61,185077;2016-01-31;17:04:00;2016-04-01;09:51;2016-02-18;6:50:00;18;Kadak tepui;bosque;no;0;antes;2;0;1;7;0;1,54;39,4;670,4;8;6,5;72;4,276666119;0,008998757;-0,105498633
B04;P1;IS23;b0;Is23;5,56954097;-61,17646602;2015-10-04;15:40:00;2015-12-09;15:00;2015-12-09;15:00:00;66;Kadak tepui;bosque;no;0;antes;2;0;1;7;0;1,54;39,4;234,8;8;5,5;63;4,143134726;0,014727949;0,387161881
B04;P2;IS23;b0;Is23;5,56954097;-61,17646602;2015-12-09;15:00:00;2016-01-31;09:12;2016-01-31;9:12:00;53;Kadak tepui;bosque;no;0;antes;2;0;1;7;0;1,54;39,4;234,8;8;5,5;63;4,143134726;0,014727949;0,387161881
B04;P3;IS23;B0;Is23-n;5,5620;-61,1980;2016-01-31;14:00:00;2016-04-01;11:40;2016-04-01;11:40:00;61;Mare Paru;bosque;no;0;si;1;1;1;7;0;1,54;39,4;625,6;8;6,4;81;4,394449155;0,022977401;0,831926062
B04;P1;LEE07;s0;Lee07;5,560050979;-61,17989003;2015-10-04;11:30:00;2015-12-09;10:32;2015-12-09;10:32:00;66;Kadak tepui;bosque ;no;0;antes;2;0;1;7;0;1,54;39,4;469,2;8;6,2;71;4,262679877;0,006419554;-0,443236387
B04;P2;LEE07;s0;Lee07;5,560050979;-61,17989003;2015-12-09;10:32:00;2016-01-31;17:29;2016-01-12;1:18:28;34;Kadak tepui;bosque ;no;0;antes;2;0;1;7;0;1,54;39,4;469,2;8;6,2;71;4,262679877;0,006419554;-0,443236387
B04;P3;LEE07;s0;Lee07;5,560050979;-61,17989003;2016-01-31;17:30:00;2016-04-01;10:01;2016-03-08;5:29:19;37;Kadak tepui;bosque ;no;0;antes;2;0;1;7;0;1,54;39,4;469,2;8;6,2;71;4,262679877;0,006419554;-0,443236387
B05;P1;IS03;sF;Is03-new;5,530373007;-61,09485302;2015-10-07;15:00:00;2015-12-06;07:57;2015-12-06;7:57:00;60;rio wuarpa;bosqe ribereno;no;0;si;1;1;7;20;1;1,5;53;2607,6;5;7,9;51;3,931825633;0,029633024;1,086304333
B05;P2;IS03;sF;Is03-new;5,530373007;-61,09485302;2015-12-06;7:57:00;2016-02-05;14:08;2016-02-05;14:08:00;61;rio wuarpa;bosqe ribereno;no;0;si;1;1;7;20;1;1,5;53;2607,6;5;7,9;51;3,931825633;0,029633024;1,086304333
