nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
724;177;B05;P3;RAS;b0;b01;HUE;0;5,4629;-61,0785;1;2;2016;00:00:00;00:00:00;0;MP;T.terrestris;HUE;1;4;herb;grande
630;3342;B03;P2;IS16;B0;B0;IS16_E14;3;5,5643;-61,0564;8;1;2016;19:45:29;19:45:30;00:00:01;MP;D.kappleri;passing;1;2;insect;mediano
631;3316;B03;P2;IS05;B0;B0;IS05_E13;3;5,5519;-61,0519;16;1;2016;00:12:08;00:12:08;00:00:00;MP;D.kappleri;passing;1;4;insect;mediano
632;3320;B03;P2;IS05;B0;B0;IS05_E17;3;5,5519;-61,0519;25;1;2016;03:14:50;03:14:50;00:00:00;MP;D.kappleri;passing;1;4;insect;mediano
728;324;B05;P3;RAS;s0;s01;HUE;0;5,4815;-61,0853;2;2;2016;00:00:00;00:00:00;0;MP;T.terrestris;HUE;1;4;herb;grande
729;325;B05;P3;RAS;sf;sf3;HUE;0;5,5298;-61,0948;4;2;2016;00:00:00;00:00:00;0;MP;T.terrestris;HUE;1;4;herb;grande
636;3397;B03;P2;IS20;s0;s01;IS20_E26;6;5,5527;-61,0579;18;1;2016;03:28:19;03:28:27;00:00:08;MP;D.kappleri;passing;1;4;insect;mediano
731;3279;B02;P2;IS02;Sf;Sf1;IS02_E26;12;5,5791;-61,1079;4;2;2016;19:14:51;19:15:13;00:00:22;MP;C.paca;passing;1;5;herb;mediano
732;3575;B05;P2;IS03;sF;sF2;IS03_E43;9;5,5304;-61,0949;4;2;2016;00:00:45;00:01:20;00:00:35;MP;C.paca;passing;1;5;herb;mediano
733;4206;B05;P2;LEE03;b0;b01;LEE03_E61;3;5,4888;-61,0947;1;2;2016;03:10:41;03:10:42;00:00:01;MP;D.imperfecta;passing;1;4;omniv;pequeno
637;3339;B03;P2;IS16;B0;B0;IS16_E11;3;5,5643;-61,0564;3;1;2016;14:59:24;14:59:25;00:00:01;MP;D.leporina;passing;1;3;herb;mediano
638;3310;B03;P2;IS05;B0;B0;IS05_E7;12;5,5519;-61,0519;4;1;2016;16:19:02;16:19:24;00:00:22;MP;D.leporina;passing;1;5;herb;mediano
639;3365;B03;P2;IS19;B0;B0;IS19_E17;3;5,5745;-61,0497;19;1;2016;13:56:22;13:56:23;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
659;3430;B03;P2;LEE04;Bf;Bf;LEE04_E26;9;5,5292;-61,056;20;1;2016;07:55:38;07:55:45;00:00:07;MP;E.barbara;passing;1;5;carniv;mediano
666;3391;B03;P2;IS20;s0;s01;IS20_E20;3;5,5527;-61,0579;3;1;2016;20:45:17;20:45:18;00:00:01;MP;M.americana;passing;1;2;herb;grande
