nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
127;2773;B05;P1;LEE03;b0;b01;LEE03_E15;3;5,4889;-61,0947;16;10;2015;12:32:11;12:32:11;00:00:00;MP;D.leporina;eating;1;5;herb;mediano
128;2775;B05;P1;LEE03;b0;b01;LEE03_E17;3;5,4889;-61,0947;16;10;2015;12:55:52;12:55:52;00:00:00;MP;D.leporina;passing;1;5;herb;mediano
129;2777;B05;P1;LEE03;b0;b01;LEE03_E19;15;5,4889;-61,0947;16;10;2015;13:00:40;13:02:28;00:01:48;MP;D.leporina;eating;1;5;herb;mediano
130;2778;B05;P1;LEE03;b0;b01;LEE03_E20;6;5,4889;-61,0947;16;10;2015;13:05:11;13:05:35;00:00:24;MP;D.leporina;passing;1;5;herb;mediano
131;2781;B05;P1;LEE03;b0;b01;LEE03_E23;3;5,4889;-61,0947;17;10;2015;06:49:55;06:49:56;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
132;2782;B05;P1;LEE03;b0;b01;LEE03_E24;6;5,4889;-61,0947;17;10;2015;06:53:16;06:53:29;00:00:13;MP;D.leporina;passing;1;5;herb;mediano
133;2783;B05;P1;LEE03;b0;b01;LEE03_E25;6;5,4889;-61,0947;18;10;2015;10:35:31;10:35:44;00:00:13;MP;D.leporina;passing;1;5;herb;mediano
134;2784;B05;P1;LEE03;b0;b01;LEE03_E26;3;5,4889;-61,0947;18;10;2015;10:37:45;10:37:45;00:00:00;MP;D.leporina;sitting;1;5;herb;mediano
135;2785;B05;P1;LEE03;b0;b01;LEE03_E27;3;5,4889;-61,0947;18;10;2015;10:42:34;10:42:35;00:00:01;MP;D.leporina;eating;1;5;herb;mediano
136;2786;B05;P1;LEE03;b0;b01;LEE03_E28;3;5,4889;-61,0947;18;10;2015;11:10:10;11:10:11;00:00:01;MP;D.leporina;eating;1;5;herb;mediano
137;2791;B05;P1;LEE03;b0;b01;LEE03_E33;3;5,4889;-61,0947;30;10;2015;05:48:51;05:48:52;00:00:01;MP;D.leporina;passing;1;5;herb;mediano
138;2327;B03;P1;IS20;s0;s01;IS20_E12;9;5,5527;-61,0579;29;10;2015;17:03:04;17:03:14;00:00:10;MP;D.leporina;passing;1;5;herb;mediano
139;1877;B02;P1;IS02;Sf;Sf1;IS02_E2;3;5,5791;-61,1079;21;10;2015;12:05:51;12:05:53;00:00:02;MP;D.leporina;passing;1;1;herb;mediano
140;1878;B02;P1;IS02;Sf;Sf1;IS02_E3;54;5,5791;-61,1079;25;10;2015;07:06:06;07:08:16;00:02:10;MP;D.leporina;eating;1;5;herb;mediano
141;2877;B06;P1;LEE05;sF;sF2;LEE05_E4;6;5,4963;-61,1568;8;10;2015;13:49:44;13:49:49;00:00:05;MP;D.leporina;passing;1;5;herb;mediano
142;2878;B06;P1;LEE05;sF;sF2;LEE05_E5;9;5,4963;-61,1568;22;10;2015;11:54:58;11:55:59;00:01:01;MP;D.leporina;passing;1;5;herb;mediano
143;2299;B03;P1;IS19;B0;B0;IS19_E5;6;5,5745;-61,0497;11;10;2015;01:11:15;01:11:21;00:00:06;MP;D.novemcinctus;passing;1;3;insect;mediano
144;2643;B05;P1;IS07;b0;b01;IS07_E6;3;5,4591;-61,0840;11;10;2015;23:40:50;23:40:50;00:00:00;MP;D.novemcinctus;passing;1;5;insect;mediano
145;2810;B05;P1;LEE04;bf;bf1;LEE040312_E3;3;5,4800;-61,0858;1;10;2015;19:56:56;19:56:56;00:00:00;MP;D.novemcinctus;passing;1;4;insect;mediano
146;2656;B05;P1;IS17;bf;bf1;IS17_E5;3;5,4681;-61,0837;16;10;2015;19:05:02;19:05:03;00:00:01;MP;D.novemcinctus;passing;1;2;insect;mediano
